report,sym,cohort,key,px_corr,gross_share,role,c_AssetMgr,c_LevFund,c_Other,c_NonRep,c_Dealer,c_Swap,c_MM,c_Prod
tff,YM,LevFund,leveraged,0.065,0.218,NEUTRAL,-0.034,,-0.136,0.128,-0.796,,,
tff,YM,Other,other_reportable,-0.169,0.002,inert,-0.117,-0.136,,0.156,-0.176,,,
tff,YM,NonRep,nonreportable,-0.221,0.156,RETAIL,-0.072,0.128,0.156,,-0.484,,,
tff,NQ,Dealer,dealer,-0.157,0.305,COUNTERPARTY,-0.452,-0.732,-0.141,-0.348,,,,
tff,NQ,AssetMgr,asset_manager,0.375,0.266,SPEC,,-0.025,-0.042,-0.024,-0.452,,,
tff,NQ,LevFund,leveraged,-0.065,0.264,NEUTRAL,-0.025,,-0.105,0.005,-0.732,,,
tff,NQ,Other,other_reportable,0.008,0.03,inert,-0.042,-0.105,,-0.25,-0.141,,,
tff,NQ,NonRep,nonreportable,0.042,0.135,RETAIL,-0.024,0.005,-0.25,,-0.348,,,
tff,RTY,Dealer,dealer,-0.339,0.242,COUNTERPARTY,-0.618,-0.492,-0.163,-0.261,,,,
tff,RTY,AssetMgr,asset_manager,0.516,0.408,SPEC,,-0.278,-0.073,0.019,-0.618,,,
tff,RTY,LevFund,leveraged,-0.115,0.26,NEUTRAL,-0.278,,-0.038,-0.007,-0.492,,,
tff,RTY,Other,other_reportable,-0.071,0.019,inert,-0.073,-0.038,,-0.103,-0.163,,,
tff,RTY,NonRep,nonreportable,0.04,0.071,RETAIL,0.019,-0.007,-0.103,,-0.261,,,
tff,ES,Dealer,dealer,0.024,0.275,NEUTRAL,-0.217,-0.424,-0.164,-0.365,,,,
tff,ES,AssetMgr,asset_manager,0.55,0.379,SPEC,,-0.427,-0.134,-0.235,-0.217,,,
tff,ES,LevFund,leveraged,-0.377,0.192,COUNTERPARTY,-0.427,,-0.101,-0.223,-0.424,,,
tff,ES,Other,other_reportable,-0.211,0.038,inert,-0.134,-0.101,,-0.021,-0.164,,,
tff,ES,NonRep,nonreportable,-0.057,0.117,RETAIL,-0.235,-0.223,-0.021,,-0.365,,,
disagg,GF,Prod,producer_merchant,-0.245,0.204,COUNTERPARTY,,,-0.094,0.368,,-0.149,-0.683,
disagg,GF,Swap,swap,0.1,0.068,NEUTRAL,,,-0.139,-0.133,,,-0.025,-0.149
disagg,GF,MM,managed_money,0.366,0.299,SPEC,,,-0.384,-0.77,,-0.025,,-0.683
disagg,GF,Other,other_reportable,-0.062,0.184,NEUTRAL,,,,0.042,,-0.139,-0.384,-0.094
disagg,GF,NonRep,nonreportable,-0.392,0.246,RETAIL,,,0.042,,,-0.133,-0.77,0.368
disagg,HE,Prod,producer_merchant,-0.458,0.297,COUNTERPARTY,,,0.083,-0.018,,-0.257,-0.828,
disagg,HE,Swap,swap,0.158,0.175,SPEC,,,-0.187,-0.103,,,0.04,-0.257
disagg,HE,MM,managed_money,0.421,0.282,SPEC,,,-0.503,-0.192,,0.04,,-0.828
disagg,HE,Other,other_reportable,-0.183,0.15,COUNTERPARTY,,,,-0.003,,-0.187,-0.503,0.083
disagg,HE,NonRep,nonreportable,0.082,0.097,RETAIL,,,-0.003,,,-0.103,-0.192,-0.018
disagg,LE,Prod,producer_merchant,-0.342,0.375,COUNTERPARTY,,,-0.056,0.404,,-0.313,-0.854,
